bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Levensweg VIP Editie,2013,,,,"name,id,url,num_games,score,game,images",2,4,,,,,8,,,,,,,,,,,,,0,,,,,,jiFAtsWfAi,,,,,
,Magic: The Gathering - Weatherlight,1997,,,,"id,name,url,num_games,score,game,images",2,2,,,,,13,,20,20,"eX8uuNlQkQ,vXxLT0FDTZ,v4SfYtS2Lr",,,,,,,,,0,,,,,,jiGfduwPVU,,,,,
,Iskelmäkaraoke,2010,,,,"name,id,url,num_games,score,game,images",3,3,,,,,18,,45,45,,,,,,,,,,0,,,,,,jiH1T1dzyt,,,,,
,Math Marks the Spot,,,,,"name,id,url,num_games,score,game,images",,,,,,,5,,,,,,,,,,,,,0,,,,,,jiH48ZtkAi,,,,,
,Wickie und die starken Männer: Wickie und der Piratenschatz,2010,,,,"name,id,url,num_games,score,game,images",2,5,,,,,6,,30,30,,,,,,,,,,0,,,,,,jiLq9d95vI,,,,,
,Star Wars: Corellian Smuggler,1996,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,1,,,,,,,120,120,,,,,,,,,,0,,,,,,jiOFoHuCOM,,,,,
,MatchBreaker,2019,,,,,2,4,,,,,8,,15,30,,"oeg6wN9Eoc,WPytek5P8l,r6yIFvyXDD,T8JEFYwoqy",,,,,,,,0,,,,,,jiOquqIlDO,,,,,
,Scholar Venture,2002,,,,"name,id,url,num_games,score,game,images",4,18,,,,,,,,,,,,,,,,,,0,,,,,,jiRcfzY0IW,,,,,
,Economy Class,2001,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,3,,,,,8,,45,45,,,,,,,,,,0,,,,,,jiRpE2S3Gc,,,,,
,Vile Consequences,2014,,"id,num_games,score,game,url,images",James Norbury,"name,id,url,num_games,score,game,images",2,10,,,,,17,,10,10,,,,,,,,,,0,,,,,,jiUcyGpaPD,,,,,
,Death on the Seas,,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,2,,,,,10,,240,240,,,,,,,,,,0,,,,,,jiUwjfr2WV,,,,,
,Pacific War: 1941-1945,2008,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,2,,,,,8,,120,120,,,,,,,,,,0,,,,,,jiVJAyxoxE,,,,,
,Dungeon Scroll,2016,,"id,num_games,score,game,url,images","Dann May,David Prieto","name,id,url,num_games,score,game,images",2,6,,,,,10,,30,30,,WPytek5P8l,,,,,,,,3,3.0,,,,,jiY5fHthBx,,,,,
,Fantasy Defense,2017,,"id,num_games,score,game,url,images",Yann Tisseron,,1,2,,,,,10,,15,20,,"9mNukNBxfZ,WPytek5P8l,AVY6EvSQTP,XM2FYZmBHH",,,,,,,,5,3.0,,,,,jiYgGXBVC9,,,,,
,Galactic Conquest,1976,,"id,num_games,score,game,url,images",Rick Bryant,"name,id,url,num_games,score,game,images",3,3,,,,,12,,,,,,,,,,,,,0,,,,,,jiZbz0BvsT,,,,,
,Futboleo,1992,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,7,,,,,,,60,60,,,,,,,,,,0,,,,,,jibydGmZrm,,,,,
,Blade: The Game of Speed Skating,2006,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,10,,,,,,,45,45,,,,,,,,,,0,,,,,,jidN1H2ktd,,,,,
,Dragon Shield Sleeves: Matte Baby Blue (100),,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,jidQcEF269,,,,,
,Letter Getter Junior,,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",,,,,,,,,60,60,,,,,,,,,,0,,,,,,jif1xYBKTm,,,,,
,"Eat Lead, Undead!",2013,,"id,num_games,score,game,url,images",Stephen Avery,,3,6,,,,,10,,45,45,,,,,,,,,,0,,,,,,jigbDJu6fn,,,,,
,Omatako,2011,,"id,num_games,score,game,url,images",,,2,2,,,,,,,10,10,,,,,,,,,,0,,,,,,jihKlbGk4u,,,,,
,Zwergentrio,2011,,"id,num_games,score,game,url,images","Evelyn Kopp,Susanne Krinke","name,id,url,num_games,score,game,images",1,3,,,,,2,,10,10,,,,,,,,,,0,,,,,,jiitP0tzmH,,,,,
,The Mexican War: 1846-1847,2007,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,8,,120,120,,,,,,,,,,0,,,,,,jikrRvh19j,,,,,
,Runicards,2013,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",1,7,,,,,14,,20,20,,,,,,,,,,0,,,,,,jimbNHREJz,,,,,
,Dark Mages,2016,,"id,num_games,score,game,url,images",,"id,num_games,score,game,url,images",2,8,,,,,13,,20,60,,"R0bGq4cAl4,WPytek5P8l,BGrhzIN69D,XM2FYZmBHH",,,,,,,,0,,,,,,jinPSWp11R,,,,,
